scenario,notes,tmc_nzd,active_studios,resilience_factor,cost_per_studio_nzd,price_floor_nzd,starter_price_nzd,growth_price_nzd,coop_price_nzd,starter_mix,growth_mix,coop_mix,mix_check,weighted_arps_nzd,floor_coverage_ratio,floor_coverage_pass,monthly_sub_revenue_nzd,monthly_floor_cost_nzd,monthly_margin_nzd,annual_sub_revenue_nzd,annual_cost_base_nzd,annual_margin_before_reserve_nzd,reserve_months_target,reserve_target_nzd,annual_surplus_after_reserve_nzd,patronage_rate,patronage_pool_nzd,retained_surplus_nzd,day90_retention_target,referral_intro_to_activation_target,mix_pass,incumbent_benchmark_nzd,undercut_pct_vs_benchmark,undercut_target_pct,undercut_pass,est_patronage_rebate_per_studio_monthly_nzd,est_net_effective_price_nzd,net_effective_undercut_pct,coop_member_value_pass
Template,"Edit input columns C,D,E,H,I,J,K,L,M,X,AA,AD,AE,AG,AI",,,,=C2/D2,=F2*(1+E2),,,,,,,=K2+L2+M2,=(H2*K2)+(I2*L2)+(J2*M2),=O2/G2,=P2>=1.05,=O2*D2,=G2*D2,=R2-S2,=R2*12,=C2*12,=U2-V2,,=C2*X2,=W2-Y2,,=Z2*AA2,=Z2-AB2,,,=N2=1,220,"=IF(AG2>0,1-(O2/AG2),"""")",0.15,"=IF(AG2>0,AH2>=AI2,"""")","=IF(D2>0,AB2/D2/12,0)",=O2-AK2,"=IF(AG2>0,1-(AL2/AG2),"""")","=AND(Q2,AB2>0,AM2>=AI2)"
Baseline_80_studios,From v1 model example with resilient but lean pricing,8400,80,0.25,=C3/D3,=F3*(1+E3),99,139,189,0.2,0.6,0.2,=K3+L3+M3,=(H3*K3)+(I3*L3)+(J3*M3),=O3/G3,=P3>=1.05,=O3*D3,=G3*D3,=R3-S3,=R3*12,=C3*12,=U3-V3,3,=C3*X3,=W3-Y3,0.5,=Z3*AA3,=Z3-AB3,0.85,0.25,=N3=1,220,"=IF(AG3>0,1-(O3/AG3),"""")",0.15,"=IF(AG3>0,AH3>=AI3,"""")","=IF(D3>0,AB3/D3/12,0)",=O3-AK3,"=IF(AG3>0,1-(AL3/AG3),"""")","=AND(Q3,AB3>0,AM3>=AI3)"
Lean_25_studios,"Early pilot: lower scale, support-heavy. Check if pricing clears floor.",5200,25,0.25,=C4/D4,=F4*(1+E4),119,169,229,0.24,0.56,0.2,=K4+L4+M4,=(H4*K4)+(I4*L4)+(J4*M4),=O4/G4,=P4>=1.05,=O4*D4,=G4*D4,=R4-S4,=R4*12,=C4*12,=U4-V4,3,=C4*X4,=W4-Y4,0.4,=Z4*AA4,=Z4-AB4,0.85,0.25,=N4=1,220,"=IF(AG4>0,1-(O4/AG4),"""")",0.15,"=IF(AG4>0,AH4>=AI4,"""")","=IF(D4>0,AB4/D4/12,0)",=O4-AK4,"=IF(AG4>0,1-(AL4/AG4),"""")","=AND(Q4,AB4>0,AM4>=AI4)"
Scale_150_studios,"Scale scenario: better unit cost, preserve member value via patronage.",14000,150,0.22,=C5/D5,=F5*(1+E5),89,129,179,0.3,0.55,0.15,=K5+L5+M5,=(H5*K5)+(I5*L5)+(J5*M5),=O5/G5,=P5>=1.05,=O5*D5,=G5*D5,=R5-S5,=R5*12,=C5*12,=U5-V5,4,=C5*X5,=W5-Y5,0.6,=Z5*AA5,=Z5-AB5,0.87,0.3,=N5=1,220,"=IF(AG5>0,1-(O5/AG5),"""")",0.15,"=IF(AG5>0,AH5>=AI5,"""")","=IF(D5>0,AB5/D5/12,0)",=O5-AK5,"=IF(AG5>0,1-(AL5/AG5),"""")","=AND(Q5,AB5>0,AM5>=AI5)"
Current_stack_tech_only_2026_03,Inferred active vendor stack only (no labor). See current-stack-cost-baseline-2026-03.md,150,5,0.25,=C6/D6,=F6*(1+E6),99,139,189,0.4,0.5,0.1,=K6+L6+M6,=(H6*K6)+(I6*L6)+(J6*M6),=O6/G6,=P6>=1.05,=O6*D6,=G6*D6,=R6-S6,=R6*12,=C6*12,=U6-V6,3,=C6*X6,=W6-Y6,0.4,=Z6*AA6,=Z6-AB6,0.85,0.25,=N6=1,220,"=IF(AG6>0,1-(O6/AG6),"""")",0.15,"=IF(AG6>0,AH6>=AI6,"""")","=IF(D6>0,AB6/D6/12,0)",=O6-AK6,"=IF(AG6>0,1-(AL6/AG6),"""")","=AND(Q6,AB6>0,AM6>=AI6)"
Current_stack_lean_operated_2026_03,Line-item ledger in lean-operated-monthly-cost-ledger-2026-03.md (mix of API-confirmed + invoice-required),2300,25,0.25,=C7/D7,=F7*(1+E7),99,139,189,0.3,0.6,0.1,=K7+L7+M7,=(H7*K7)+(I7*L7)+(J7*M7),=O7/G7,=P7>=1.05,=O7*D7,=G7*D7,=R7-S7,=R7*12,=C7*12,=U7-V7,3,=C7*X7,=W7-Y7,0.4,=Z7*AA7,=Z7-AB7,0.85,0.25,=N7=1,220,"=IF(AG7>0,1-(O7/AG7),"""")",0.15,"=IF(AG7>0,AH7>=AI7,"""")","=IF(D7>0,AB7/D7/12,0)",=O7-AK7,"=IF(AG7>0,1-(AL7/AG7),"""")","=AND(Q7,AB7>0,AM7>=AI7)"
Lean_operated_segment_pole_aerial_2026_03,Same lean-operated economics; provisional segment benchmark for pole/aerial studios.,2300,25,0.25,=C8/D8,=F8*(1+E8),99,139,189,0.3,0.6,0.1,=K8+L8+M8,=(H8*K8)+(I8*L8)+(J8*M8),=O8/G8,=P8>=1.05,=O8*D8,=G8*D8,=R8-S8,=R8*12,=C8*12,=U8-V8,3,=C8*X8,=W8-Y8,0.4,=Z8*AA8,=Z8-AB8,0.85,0.25,=N8=1,180,"=IF(AG8>0,1-(O8/AG8),"""")",0.15,"=IF(AG8>0,AH8>=AI8,"""")","=IF(D8>0,AB8/D8/12,0)",=O8-AK8,"=IF(AG8>0,1-(AL8/AG8),"""")","=AND(Q8,AB8>0,AM8>=AI8)"
Lean_operated_segment_dance_2026_03,Same lean-operated economics; provisional segment benchmark for dance studios.,2300,25,0.25,=C9/D9,=F9*(1+E9),99,139,189,0.3,0.6,0.1,=K9+L9+M9,=(H9*K9)+(I9*L9)+(J9*M9),=O9/G9,=P9>=1.05,=O9*D9,=G9*D9,=R9-S9,=R9*12,=C9*12,=U9-V9,3,=C9*X9,=W9-Y9,0.4,=Z9*AA9,=Z9-AB9,0.85,0.25,=N9=1,200,"=IF(AG9>0,1-(O9/AG9),"""")",0.15,"=IF(AG9>0,AH9>=AI9,"""")","=IF(D9>0,AB9/D9/12,0)",=O9-AK9,"=IF(AG9>0,1-(AL9/AG9),"""")","=AND(Q9,AB9>0,AM9>=AI9)"
Lean_operated_segment_yoga_2026_03,Same lean-operated economics; provisional segment benchmark for yoga studios.,2300,25,0.25,=C10/D10,=F10*(1+E10),99,139,189,0.3,0.6,0.1,=K10+L10+M10,=(H10*K10)+(I10*L10)+(J10*M10),=O10/G10,=P10>=1.05,=O10*D10,=G10*D10,=R10-S10,=R10*12,=C10*12,=U10-V10,3,=C10*X10,=W10-Y10,0.4,=Z10*AA10,=Z10-AB10,0.85,0.25,=N10=1,240,"=IF(AG10>0,1-(O10/AG10),"""")",0.15,"=IF(AG10>0,AH10>=AI10,"""")","=IF(D10>0,AB10/D10/12,0)",=O10-AK10,"=IF(AG10>0,1-(AL10/AG10),"""")","=AND(Q10,AB10>0,AM10>=AI10)"
Lean_operated_segment_mixed_fitness_2026_03,Same lean-operated economics; provisional segment benchmark for mixed fitness/BJJ/gym studios.,2300,25,0.25,=C11/D11,=F11*(1+E11),99,139,189,0.3,0.6,0.1,=K11+L11+M11,=(H11*K11)+(I11*L11)+(J11*M11),=O11/G11,=P11>=1.05,=O11*D11,=G11*D11,=R11-S11,=R11*12,=C11*12,=U11-V11,3,=C11*X11,=W11-Y11,0.4,=Z11*AA11,=Z11-AB11,0.85,0.25,=N11=1,280,"=IF(AG11>0,1-(O11/AG11),"""")",0.15,"=IF(AG11>0,AH11>=AI11,"""")","=IF(D11>0,AB11/D11/12,0)",=O11-AK11,"=IF(AG11>0,1-(AL11/AG11),"""")","=AND(Q11,AB11>0,AM11>=AI11)"
